"year","publicationCount"
1763,4
1796,1
1818,1
1824,1
1826,39
1827,50
1828,49
1829,34
1830,78
1831,36
1832,73
1833,35
1834,76
1835,52
1836,26
1837,60
1838,26
1839,19
1840,49
1841,16
1842,45
1843,45
1844,56
1845,15
1846,106
1847,41
1848,40
1849,20
1850,62
1851,61
1852,38
1853,42
1854,47
1855,50
1856,32
1857,65
1858,23
1859,31
1860,28
1861,49
1862,27
1863,41
1864,38
1865,28
1866,52
1867,73
1868,879
1869,868
1870,916
1871,1042
1872,1139
1873,1135
1874,1129
1875,1414
1876,1259
1877,1557
1878,1440
1879,1492
1880,1450
1881,1460
1882,1435
1883,1716
1884,1794
1885,1788
1886,1805
1887,2048
1888,2342
1889,2118
1890,2236
1891,2211
1892,2101
1893,2445
1894,2344
1895,2205
1896,2626
1897,2790
1898,2504
1899,2616
1900,2661
1901,2822
1902,3000
1903,3102
1904,3187
1905,3136
1906,3232
1907,3154
1908,3308
1909,3450
1910,3759
1911,3884
1912,4211
1913,4280
1914,2892
1915,2502
1916,2451
1917,1818
1918,1562
1919,1984
1920,1832
1921,2244
1922,2491
1923,2611
1924,2730
1925,4915
1926,4614
1927,4973
1928,5836
1929,6415
1930,6919
1931,10272
1932,10727
1933,10102
1934,9676
1935,10325
1936,10356
1937,9330
1938,8972
1939,9492
1940,7943
1941,7085
1942,5020
1943,2879
1944,2077
1945,2153
1946,2740
1947,3402
1948,4535
1949,5470
1950,6191
1951,7067
1952,7584
1953,7954
1954,8389
1955,8319
1956,9310
1957,10110
1958,10950
1959,11818
1960,13442
1961,13912
1962,15311
1963,15912
1964,15823
1965,16032
1966,16963
1967,18925
1968,21326
1969,23815
1970,26180
1971,28357
1972,30783
1973,32559
1974,35000
1975,35966
1976,36981
1977,39149
1978,41532
1979,42691
1980,45275
1981,43963
1982,45114
1983,46379
1984,47917
1985,47584
1986,48414
1987,49989
1988,52885
1989,53345
1990,52922
1991,54645
1992,58678
1993,60403
1994,65246
1995,67964
1996,72003
1997,74577
1998,75869
1999,78236
2000,85109
2001,94043
2002,94027
2003,90056
2004,89124
2005,92153
2006,98745
2007,104084
2008,110177
2009,106029
2010,95291
2011,101564
2012,90318
2013,90041
2014,84170
2015,61725
2016,61946
2017,72446
2018,82750
2019,100972
2020,93242
2021,55474
2022,19921
2023,35495
2024,12221
2025,2782
2026,14
